image_path,condition,pre_processing_time,find_contours_time,total_processing_time
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_100_44bc66b3-1.0047.png,1,2.0822999995289138,0.9706000000733184,3.0573000003641937
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_101_af579c2e-1.0048.png,1,0.8598000003985362,0.5271000009088311,1.3897999997425359
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_102_d2de71cb-1.0049.png,1,2.715399999942747,1.680800000031013,4.403999999340158
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_103_af80fa25-1.0050.png,1,2.0362000013847137,0.8522000007360475,2.893900000344729
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_104_f5abf5cc-1.0051.png,1,0.6939999984751921,0.48889999925449956,1.185000000987202
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_105_4c6cfab8-1.0052.png,1,1.118500000302447,0.2860999993572477,1.4069999997445848
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_106_418c7a9c-1.0053.png,1,0.9078000002773479,0.2038000002357876,1.1138000008941162
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_107_aa812af1-1.0054.png,1,1.3903999988542637,0.3049000006285496,1.698000000033062
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_108_21e65f50-1.0055.png,1,0.8242000003519934,0.1661000005697133,0.9927999999490567
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_109_65e43ce0-1.0056.png,1,2.349000000322121,0.5529999998543644,2.907500000219443
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_110_7c5e03d8-1.0057.png,1,2.604299999802606,0.5023000012442935,3.1120999992708676
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_111_52891754-1.0058.png,1,1.2913999999000225,0.37320000046747737,1.6674999988026684
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_112_afb29054-1.0059.png,1,2.1467000005941372,0.40999999873747583,2.5605999999243068
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_113_b4f5f70e-1.0060.png,1,1.9264000002294779,0.49059999946621247,2.4223999989771983
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_114_26004e56-1.0061.png,1,2.831900001183385,0.6812000010540942,3.5188999991078163
