deformability,area,area_ratio,circularity,convex_hull_area,mask_x_length,mask_y_length,min_x,min_y,max_x,max_y,mean_brightness,brightness_std,perimeter,aspect_ratio,convex_hull_perimeter,cell_id,image_name,batch_name,is_cropped
0.5,1569,1.0,0.5,1569,44,46,36,445,80,491,140.478431372549,1.654028205356185,146.12489168102783,0.9565217391304348,146.12489168102783,0,image.0111_with_target,10_output,False
0.5,8,1.0,0.5,8,3,4,72,384,75,388,145.824,9.281865329770735,7.65685424949238,0.75,7.65685424949238,0,image.0129_with_target,10_output,False
0.5,153,1.0,0.5,153,16,25,60,435,76,460,147.5529411764706,9.119046065976558,65.49747468305833,0.64,65.49747468305833,1,image.0129_with_target,10_output,False
0.5,25,1.0,0.5,25,5,7,53,481,58,488,148.50980392156862,10.879685240940816,15.899494936611664,0.7142857142857143,15.899494936611664,2,image.0129_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,50,439,53,442,145.6324110671937,8.901928162864184,5.656854249492381,1.0,5.656854249492381,3,image.0129_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,37,469,40,472,148.18577075098815,6.595084040165978,5.656854249492381,1.0,5.656854249492381,4,image.0129_with_target,10_output,False
0.5,78,1.0,0.5,78,22,11,36,433,58,444,148.21789883268482,8.608609767091368,59.84062043356595,2.0,59.84062043356595,5,image.0129_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,34,465,37,468,149.05533596837944,7.331028134151856,5.656854249492381,1.0,5.656854249492381,6,image.0129_with_target,10_output,False
0.5,11,1.0,0.5,11,3,5,32,457,35,462,147.5415019762846,11.007509874326496,9.65685424949238,0.6,9.65685424949238,7,image.0129_with_target,10_output,False
0.5,41,1.0,0.5,41,7,11,32,444,39,455,148.91015625,8.940981313624693,25.79898987322333,0.6363636363636364,25.79898987322333,8,image.0129_with_target,10_output,False
0.5,69,1.0,0.5,69,9,11,26,484,35,495,139.74308300395256,18.212220671830067,28.97056274847714,0.8181818181818182,28.97056274847714,9,image.0129_with_target,10_output,False
0.5,767,1.0,0.5,767,45,46,35,432,80,478,140.40625,1.982097610487435,221.86500705120545,0.9782608695652174,221.86500705120545,0,image.0202_with_target,10_output,False
0.5,21,1.0,0.5,21,3,11,13,465,16,476,131.7741935483871,77.57393338279726,20.14213562373095,0.2727272727272727,20.14213562373095,1,image.0202_with_target,10_output,False
0.5,1628,1.0,0.5,1628,45,47,37,461,82,508,139.63636363636363,1.8140268730719213,148.36753236814712,0.9574468085106383,148.36753236814712,0,image.0426_with_target,10_output,False
0.5,1681,1.0,0.5,1681,45,47,36,406,81,453,139.18897637795277,2.5074135227850127,150.12489168102786,0.9574468085106383,150.12489168102786,0,image.0440_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,72,385,75,388,144.97233201581028,10.02700037194252,5.656854249492381,1.0,5.656854249492381,0,image.0689_with_target,10_output,False
0.5,219,1.0,0.5,219,17,17,57,423,74,440,135.36904761904762,47.07047563888375,52.2842712474619,1.0,52.2842712474619,1,image.0689_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,72,385,75,388,144.48616600790513,9.594794698194674,5.656854249492381,1.0,5.656854249492381,0,image.0769_with_target,10_output,False
0.5,1833,1.0,0.5,1833,47,50,37,449,84,499,140.8498023715415,1.6613396305565027,158.36753236814715,0.94,158.36753236814715,1,image.0769_with_target,10_output,False
0.5,237,1.0,0.5,237,17,20,50,432,67,452,137.27667984189722,23.54766693805486,59.94112549695428,0.85,59.94112549695428,0,image.0898_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,74,458,77,461,140.7509881422925,19.502843843806644,5.656854249492381,1.0,5.656854249492381,0,image.0932_with_target,10_output,False
0.5,5,1.0,0.5,5,3,3,74,454,77,457,140.95256916996047,19.523719315975885,5.656854249492381,1.0,5.656854249492381,1,image.0932_with_target,10_output,False
0.5,8,1.0,0.5,8,3,4,72,384,75,388,146.136,9.500605454390788,7.65685424949238,0.75,7.65685424949238,2,image.0932_with_target,10_output,False
