deformability,area,area_ratio,circularity,convex_hull_area,mask_x_length,mask_y_length,min_x,min_y,max_x,max_y,mean_brightness,brightness_std,perimeter,aspect_ratio,convex_hull_perimeter,cell_id,image_name,is_cropped
0.8718340272802897,7786,0.09876701772412022,0.1281659727197103,769,19,512,77,0,96,512,61.5863453815261,28.776272687342498,1059.7340187157677,0.037109375,767.0,0,image.2150_with_target,False
-0.7724538509055157,8,1.0,1.7724538509055157,8,4,4,38,436,42,440,103.53125,5.987535881938412,5.656854249492381,1.0,5.656854249492381,1,image.2150_with_target,False
-0.7724538509055157,8,1.0,1.7724538509055157,8,4,4,37,413,41,417,104.71484375,5.147125864313591,5.656854249492381,1.0,5.656854249492381,2,image.2150_with_target,False
0.8529333125938463,12202,0.04794296017046386,0.14706668740615367,585,27,512,0,0,27,512,83.19455252918289,46.79678197280114,1074.8700576850888,0.052734375,583.0,3,image.2150_with_target,False
0.8684366320181984,7810,0.09346991037131883,0.13156336798180157,730,19,512,77,0,96,512,61.17338709677419,28.33053353650544,1060.7695526217005,0.037109375,728.0,0,image.1726_with_target,False
0.8604200624300832,12236,0.05304020921869892,0.1395799375699168,649,28,512,0,0,28,512,83.1640625,46.6254653702898,1074.8700576850888,0.0546875,647.0,1,image.1726_with_target,False
0.8637587204785371,7765,0.08770122343850612,0.13624127952146292,681,19,512,77,0,96,512,62.35655737704918,29.31415337594363,1058.284271247462,0.037109375,679.0,0,image.4999_with_target,False
0.8723016503784277,12217,0.07915200130965049,0.12769834962157237,967,28,512,0,0,28,512,83.51372549019608,46.92153241069372,1082.083261120685,0.0546875,863.2426406871193,1,image.4999_with_target,False
0.87124360000213,7849,0.09708243088291502,0.12875639999787006,762,19,512,77,0,96,512,61.69230769230769,29.038897227071743,1060.7695526217005,0.037109375,760.0,0,image.7777_with_target,False
-1.583773285115842,17,1.0,2.583773285115842,17,7,7,54,425,61,432,104.34782608695652,7.186777302892779,5.656854249492381,1.0,5.656854249492381,1,image.7777_with_target,False
